Longitude,Latitude,1976-1977,1978-1979,1980-1981,1982-1983,1984-1985,1986-1987,1988-1989,1990-1991,1992-1993,1994-1995,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017
-171,81,-0.024,0.7648,0.6375,0.2155,-0.0302,0.2451,0.9937,0.643,0.8826,0.8481,1.1575,1.5452,0.3473,1.4736,1.3885,1.7451,1.1509,1.811,1.3089,2.3469,2.8403
-171,21,-0.093,-0.0212,0.1475,-0.3855,0.0688,-0.1315,0.2877,-0.1409,-0.2289,0.1114,0.173,-0.2364,0.3436,0.2722,0.3734,0.3687,0.3228,0.1367,0.2233,0.4432,0.5368
-171,-71,-1.1057,-0.8201,0.6177,-0.2081,0.2622,0.4932,0.9822,0.6064,0.1701,-0.192,0.7171,0.3522,0.3386,0.5093,0.0414,1.1494,1.0321,1.3849,1.1678,0.6937,0.7645
-171,79,0.0183,0.8915,0.6132,0.252,-0.0456,0.2978,1.054,0.7183,1.029,0.783,1.3387,1.519,0.3163,1.5839,1.4585,1.8095,1.1324,1.7903,1.2528,2.4208,3.0448
-171,55,0.1718,0.632,0.6098,0.3455,0.4007,0.4707,0.1677,0.2056,0.3644,0.2474,0.8105,0.0635,0.2762,0.754,0.8723,0.2379,-0.2056,0.0635,-0.1488,1.2278,1.2473
-171,-65,0.4392,0.669,0.6629,0.774,0.441,0.5191,0.3694,0.4861,0.7169,0.542,0.3735,0.1017,0.2469,0.4426,0.5123,-0.1307,0.0685,0.2772,0.2232,0.1739,0.3802
-171,-63,0.4392,0.669,0.6629,0.774,0.441,0.5191,0.3694,0.4861,0.7169,0.542,0.3735,0.1017,0.2469,0.4426,0.5123,-0.1307,0.0685,0.2772,0.2232,0.1739,0.3802
-171,-9,-0.0082,0.0606,0.1865,0.1378,0.028,0.2641,-0.1293,0.3657,0.3764,0.5524,0.1729,0.1641,0.2199,0.7283,0.5275,0.5183,0.2603,0.1477,0.3618,0.6104,0.7257
-171,49,-0.1336,0.0564,0.1594,0.1153,0.3639,0.2933,0.1112,0.4568,0.2696,0.4431,1.2547,0.2219,0.2085,0.2283,0.6704,0.441,0.4387,0.343,0.3165,0.9805,0.4543
-171,-13,-0.1637,-0.1153,-0.021,-0.0027,-0.0844,-0.0803,-0.1799,0.1849,0.2346,0.497,-0.0319,-0.0199,0.1836,0.6595,0.5426,0.5312,0.1672,0.1778,0.2866,0.512,0.6153
-171,41,-0.4006,-0.2865,-0.4792,-0.1845,-0.3547,-1.2245,-0.4115,0.6683,-0.5492,-0.2226,-0.358,-0.3201,0.124,-0.2678,0.127,0.5063,0.0384,0.6227,0.8911,-0.0339,-0.4849
